date,contract,front_old,front_new,RSF16,RSH16,RSK16,RSN16,RSX16,RSF17,RSH17,RSK17,RSN17,RSX17,RSF18,RSH18,RSK18,RSN18,RSX18,RSF19,RSH19,RSK19,RSN19,RSX19,RSF20,RSH20,RSK20,RSN20,RSX20,RSF21,RSH21,RSK21,RSN21,RSX21,RSF22,RSH22,RSK22,RSN22,RSX22,RSF23,RSH23,RSK23,RSN23,RSX23,RSF24,RSH24,RSK24,RSN24,RSX24,RSF25,RSH25,RSK25,RSN25,RSX25
10/16/2015,RSF16,NA,477.1,477.1,479.8,480.5,480,469.7,467.9,469.6,469.6,469.6,469.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/19/2015,RSF16,NA,476.2,476.2,478.9,479.6,479.2,468.6,466.8,468.5,468.5,468.5,468.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/20/2015,RSF16,NA,478.3,478.3,481.6,482,480.9,471.1,469.3,471,471,471,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/21/2015,RSF16,NA,482.4,482.4,486.8,488.3,487.3,477.2,475.4,477.1,477.1,477.1,477.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/22/2015,RSF16,NA,481.2,481.2,485.2,485.8,484,473.4,471.6,473.3,473.3,473.3,473.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/23/2015,RSF16,NA,483.3,483.3,488.1,488.9,487,476.2,474.4,476.1,476.1,476.1,476.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/26/2015,RSF16,NA,474.7,474.7,480.1,481.6,480.2,469.5,467.7,469.4,469.4,469.4,469.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/27/2015,RSF16,NA,476.2,476.2,482.1,485.1,485.1,475.4,474,475.7,475.7,475.7,475.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/28/2015,RSF16,NA,474.5,474.5,480.4,483.1,483.1,474.9,473.5,475.2,475.2,475.2,475.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/29/2015,RSF16,NA,471.2,471.2,477.3,480.2,480.3,472,470.6,472.3,472.3,472.3,472.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
