date,contract,month,year,zone,futures,cash,basis
11/3/2015,RSF16,F,16,PEACE,477.7,449.58,-28.12
11/3/2015,RSF16,F,16,N ALTA,477.7,447.32,-30.38
11/3/2015,RSF16,F,16,S ALTA,477.7,450.26,-27.44
11/3/2015,RSF16,F,16,NW SASK,477.7,446.46,-31.24
11/3/2015,RSF16,F,16,SW SASK,477.7,446.84,-30.86
11/3/2015,RSF16,F,16,NE SASK,477.71,445.73,-31.98
11/3/2015,RSF16,F,16,SE SASK,477.7,448.52,-29.18
11/3/2015,RSF16,F,16,W MAN,477.7,450.52,-27.18
11/3/2015,RSF16,F,16,E MAN,477.7,452.52,-25.18
11/4/2015,RSF16,F,16,PEACE,480.5,451.47,-29.03
11/4/2015,RSF16,F,16,N ALTA,480.5,450.13,-30.37
11/4/2015,RSF16,F,16,S ALTA,480.5,455.16,-25.34
11/4/2015,RSF16,F,16,NW SASK,480.5,450.76,-29.74
11/4/2015,RSF16,F,16,SW SASK,480.5,452.43,-28.07
11/4/2015,RSF16,F,16,NE SASK,480.5,451.33,-29.17
11/4/2015,RSF16,F,16,SE SASK,480.5,454.14,-26.36
11/4/2015,RSF16,F,16,W MAN,480.5,456.65,-23.85
11/4/2015,RSF16,F,16,E MAN,480.5,459.62,-20.88
11/5/2015,RSF16,F,16,PEACE,478,444.21,-33.79
11/5/2015,RSF16,F,16,N ALTA,478,443.41,-34.59
11/5/2015,RSF16,F,16,S ALTA,478,448.58,-29.42
11/5/2015,RSF16,F,16,NW SASK,478,444.14,-33.86
11/5/2015,RSF16,F,16,SW SASK,478,445.9,-32.1
11/5/2015,RSF16,F,16,NE SASK,478,444.34,-33.66
11/5/2015,RSF16,F,16,SE SASK,478,447.55,-30.45
11/5/2015,RSF16,F,16,W MAN,478,450.16,-27.84
11/5/2015,RSF16,F,16,E MAN,478,453.34,-24.66
11/6/2015,RSF16,F,16,PEACE,479.5,448.81,-30.69
11/6/2015,RSF16,F,16,N ALTA,479.5,447.86,-31.64
11/6/2015,RSF16,F,16,S ALTA,479.5,453.17,-26.33
11/6/2015,RSF16,F,16,NW SASK,479.5,448.64,-30.86
11/6/2015,RSF16,F,16,SW SASK,479.5,450.46,-29.04
11/6/2015,RSF16,F,16,NE SASK,479.5,448.63,-30.87
11/6/2015,RSF16,F,16,SE SASK,479.5,452.07,-27.43
11/6/2015,RSF16,F,16,W MAN,479.5,454.77,-24.73
11/6/2015,RSF16,F,16,E MAN,479.5,457.83,-21.67
11/9/2015,RSF16,F,16,PEACE,477.8,447.42,-30.38
11/9/2015,RSF16,F,16,N ALTA,477.8,446.59,-31.21
11/9/2015,RSF16,F,16,S ALTA,477.8,451.46,-26.34
11/9/2015,RSF16,F,16,NW SASK,477.8,447.34,-30.46
11/9/2015,RSF16,F,16,SW SASK,477.8,448.98,-28.82
11/9/2015,RSF16,F,16,NE SASK,477.8,447.51,-30.29
11/9/2015,RSF16,F,16,SE SASK,477.8,450.67,-27.13
11/9/2015,RSF16,F,16,W MAN,477.8,452.7,-25.1
11/9/2015,RSF16,F,16,E MAN,477.8,456.52,-21.28
11/10/2015,RSF16,F,16,PEACE,468,437.08,-30.92
11/10/2015,RSF16,F,16,N ALTA,468,436.12,-31.88
11/10/2015,RSF16,F,16,S ALTA,468,441.22,-26.78
11/10/2015,RSF16,F,16,NW SASK,468,437.08,-30.92
11/10/2015,RSF16,F,16,SW SASK,468,438.72,-29.28
11/10/2015,RSF16,F,16,NE SASK,468,438.1,-29.9
11/10/2015,RSF16,F,16,SE SASK,468,440.83,-27.17
11/10/2015,RSF16,F,16,W MAN,468,441.86,-26.14
11/10/2015,RSF16,F,16,E MAN,468,445.49,-22.51
11/12/2015,RSF16,F,16,PEACE,472.2,441.73,-30.47
11/12/2015,RSF16,F,16,N ALTA,472.2,440.66,-31.54
11/12/2015,RSF16,F,16,S ALTA,472.2,445.87,-26.33
11/12/2015,RSF16,F,16,NW SASK,472.2,441.65,-30.55
11/12/2015,RSF16,F,16,SW SASK,472.2,443.36,-28.84
11/12/2015,RSF16,F,16,NE SASK,472.2,442.39,-29.81
11/12/2015,RSF16,F,16,SE SASK,472.2,445.35,-26.85
11/12/2015,RSF16,F,16,W MAN,472.2,446.42,-25.78
11/12/2015,RSF16,F,16,E MAN,472.2,450.1,-22.1
11/13/2015,RSF16,F,16,PEACE,471.5,440.22,-31.28
11/13/2015,RSF16,F,16,N ALTA,471.5,439.17,-32.33
11/13/2015,RSF16,F,16,S ALTA,471.5,444.31,-27.19
11/13/2015,RSF16,F,16,NW SASK,471.5,440.16,-31.34
11/13/2015,RSF16,F,16,SW SASK,471.5,441.79,-29.71
11/13/2015,RSF16,F,16,NE SASK,471.5,440.93,-30.57
11/13/2015,RSF16,F,16,SE SASK,471.5,443.83,-27.67
11/13/2015,RSF16,F,16,W MAN,471.5,444.81,-26.69
11/13/2015,RSF16,F,16,E MAN,471.5,448.4,-23.1
11/16/2015,RSF16,F,16,PEACE,470.9,441.49,-29.41
11/16/2015,RSF16,F,16,N ALTA,470.9,440.1,-30.8
11/16/2015,RSF16,F,16,S ALTA,470.9,446.04,-24.86
11/16/2015,RSF16,F,16,NW SASK,470.9,440.92,-29.98
11/16/2015,RSF16,F,16,SW SASK,470.9,443.01,-27.89
11/16/2015,RSF16,F,16,NE SASK,470.9,442.53,-28.37
11/16/2015,RSF16,F,16,SE SASK,470.9,446.21,-24.69
11/16/2015,RSF16,F,16,W MAN,470.9,447.51,-23.39
11/16/2015,RSF16,F,16,E MAN,470.9,450.32,-20.58
11/17/2015,RSF16,F,16,PEACE,470.2,440.22,-29.98
11/17/2015,RSF16,F,16,N ALTA,470.2,438.8,-31.4
11/17/2015,RSF16,F,16,S ALTA,470.2,443.67,-26.53
11/17/2015,RSF16,F,16,NW SASK,470.2,439.68,-30.52
11/17/2015,RSF16,F,16,SW SASK,470.2,441.16,-29.04
11/17/2015,RSF16,F,16,NE SASK,470.2,440.63,-29.57
11/17/2015,RSF16,F,16,SE SASK,470.2,443.25,-26.95
11/17/2015,RSF16,F,16,W MAN,470.2,444.14,-26.06
11/17/2015,RSF16,F,16,E MAN,470.2,447.87,-22.33
11/18/2015,RSF16,F,16,PEACE,466.1,438.11,-27.99
11/18/2015,RSF16,F,16,N ALTA,466.1,436.4,-29.7
11/18/2015,RSF16,F,16,S ALTA,466.1,440.24,-25.86
11/18/2015,RSF16,F,16,NW SASK,466.1,436.81,-29.29
11/18/2015,RSF16,F,16,SW SASK,466.1,437.72,-28.38
11/18/2015,RSF16,F,16,NE SASK,466.1,436.91,-29.19
11/18/2015,RSF16,F,16,SE SASK,466.1,439.8,-26.3
11/18/2015,RSF16,F,16,W MAN,466.1,440.92,-25.18
11/18/2015,RSF16,F,16,E MAN,466.1,444.35,-21.75
11/19/2015,RSF16,F,16,PEACE,463.5,436.34,-27.16
11/19/2015,RSF16,F,16,N ALTA,463.5,434.64,-28.86
11/19/2015,RSF16,F,16,S ALTA,463.5,438.51,-24.99
11/19/2015,RSF16,F,16,NW SASK,463.5,435.04,-28.46
11/19/2015,RSF16,F,16,SW SASK,463.5,436,-27.5
11/19/2015,RSF16,F,16,NE SASK,463.5,435.16,-28.34
11/19/2015,RSF16,F,16,SE SASK,463.5,438.05,-25.45
11/19/2015,RSF16,F,16,W MAN,463.5,439.01,-24.49
11/19/2015,RSF16,F,16,E MAN,463.5,442.72,-20.78
11/20/2015,RSF16,F,16,PEACE,464.4,435.56,-28.84
11/20/2015,RSF16,F,16,N ALTA,464.4,433.89,-30.51
11/20/2015,RSF16,F,16,S ALTA,464.4,438.01,-26.39
11/20/2015,RSF16,F,16,NW SASK,464.4,434.4,-30
11/20/2015,RSF16,F,16,SW SASK,464.4,435.51,-28.89
11/20/2015,RSF16,F,16,NE SASK,464.4,434.45,-29.95
11/20/2015,RSF16,F,16,SE SASK,464.4,437.47,-26.93
11/20/2015,RSF16,F,16,W MAN,464.4,438.21,-26.19
11/20/2015,RSF16,F,16,E MAN,464.4,441.93,-22.47
11/23/2015,RSF16,F,16,PEACE,462.4,432.03,-30.37
11/23/2015,RSF16,F,16,N ALTA,462.4,430.35,-32.05
11/23/2015,RSF16,F,16,S ALTA,462.4,434.48,-27.92
11/23/2015,RSF16,F,16,NW SASK,462.4,430.86,-31.54
11/23/2015,RSF16,F,16,SW SASK,462.4,431.98,-30.42
11/23/2015,RSF16,F,16,NE SASK,462.4,430.9,-31.5
11/23/2015,RSF16,F,16,SE SASK,462.4,434.08,-28.32
11/23/2015,RSF16,F,16,W MAN,462.4,434.98,-27.42
11/23/2015,RSF16,F,16,E MAN,462.4,438.56,-23.84
11/24/2015,RSF16,F,16,PEACE,464.6,435.85,-28.75
11/24/2015,RSF16,F,16,N ALTA,464.6,434.24,-30.36
11/24/2015,RSF16,F,16,S ALTA,464.6,438.68,-25.92
11/24/2015,RSF16,F,16,NW SASK,464.6,434.85,-29.75
11/24/2015,RSF16,F,16,SW SASK,464.6,436.08,-28.52
11/24/2015,RSF16,F,16,NE SASK,464.6,435.08,-29.52
11/24/2015,RSF16,F,16,SE SASK,464.6,438.11,-26.49
11/24/2015,RSF16,F,16,W MAN,464.6,439.02,-25.58
11/24/2015,RSF16,F,16,E MAN,464.6,442.63,-21.97
