date,monthYear,vancouver
5/30/2014,5/1/2014,504.3
6/30/2014,6/1/2014,510.7
7/31/2014,7/1/2014,488.3
8/29/2014,8/1/2014,465.2
9/30/2014,9/1/2014,431.3
10/31/2014,10/1/2014,482.6
11/28/2014,11/1/2014,469.9
12/31/2014,12/1/2014,478.6
1/30/2015,1/1/2015,489.1
2/27/2015,2/1/2015,498.4
3/31/2015,3/1/2015,488.9
4/30/2015,4/1/2015,481.5
5/29/2015,5/1/2015,502.8
6/30/2015,6/1/2015,555.6
7/31/2015,7/1/2015,528.7
8/31/2015,8/1/2015,506.8
9/30/2015,9/1/2015,505.7
10/30/2015,10/1/2015,504.4
11/30/2015,11/1/2015,493.1
12/31/2015,12/1/2015,508.6
1/29/2016,1/1/2016,503.9
2/29/2016,2/1/2016,478.2
3/31/2016,3/1/2016,506.2
4/29/2016,4/1/2016,527.7
5/31/2016,5/1/2016,542.6
6/30/2016,6/1/2016,510.7
7/29/2016,7/1/2016,466.2
8/31/2016,8/1/2016,489.6
9/30/2016,9/1/2016,486.1
10/31/2016,10/1/2016,539.5
11/30/2016,11/1/2016,548.2
12/30/2016,12/1/2016,534.5
1/31/2017,1/1/2017,542.9
2/28/2017,2/1/2017,540.3
3/31/2017,3/1/2017,518.4
4/28/2017,4/1/2017,559.7
5/31/2017,5/1/2017,556.8
6/30/2017,6/1/2017,523
7/31/2017,7/1/2017,533.3
8/31/2017,8/1/2017,525.9
9/29/2017,9/1/2017,517.4
10/31/2017,10/1/2017,542.2
11/30/2017,11/1/2017,531
12/29/2017,12/1/2017,530.1
1/31/2018,1/1/2018,519.7
2/28/2018,2/1/2018,541.7
3/30/2018,3/1/2018,558.7
4/30/2018,4/1/2018,575.4
5/31/2018,5/1/2018,581.1
6/29/2018,6/1/2018,546.4
7/31/2018,7/1/2018,523.6
8/31/2018,8/1/2018,520.6
9/28/2018,9/1/2018,523.3
10/31/2018,10/1/2018,511.5
11/30/2018,11/1/2018,509.4
12/31/2018,12/1/2018,506.7
1/31/2019,1/1/2019,518.5
2/28/2019,2/1/2019,506.4
3/29/2019,3/1/2019,483.3
4/30/2019,4/1/2019,461.2
5/31/2019,5/1/2019,479.5
6/28/2019,6/1/2019,465.9
7/31/2019,7/1/2019,470.5
8/30/2019,8/1/2019,463
9/30/2019,9/1/2019,465.8
10/31/2019,10/1/2019,481.4
11/29/2019,11/1/2019,474.6
12/31/2019,12/1/2019,492.5
1/31/2020,1/1/2020,470.5
2/28/2020,2/1/2020,474.3
3/31/2020,3/1/2020,487.9
4/30/2020,4/1/2020,477.3
5/29/2020,5/1/2020,486.1
6/30/2020,6/1/2020,493.5
7/31/2020,7/1/2020,516.5
8/31/2020,8/1/2020,524.1
9/30/2020,9/1/2020,544.3
10/30/2020,10/1/2020,574.6
11/30/2020,11/1/2020,618
12/31/2020,12/1/2020,680.8
1/29/2021,1/1/2021,734
2/26/2021,2/1/2021,804.2
3/31/2021,3/1/2021,796.5
4/30/2021,4/1/2021,973.7
5/31/2021,5/1/2021,819.2
6/30/2021,6/1/2021,809.5
7/30/2021,7/1/2021,922.2
8/31/2021,8/1/2021,997.7
9/30/2021,9/1/2021,967.9
10/29/2021,10/1/2021,1024.8
11/30/2021,11/1/2021,1113.9
12/31/2021,12/1/2021,1082.7
1/31/2022,1/1/2022,1092.6
3/31/2022,3/1/2022,1199.4
4/29/2022,4/1/2022,1253.1
5/31/2022,5/1/2022,1242.8
6/30/2022,6/1/2022,985.2
7/29/2022,7/1/2022,953.6
8/31/2022,8/1/2022,905.8
9/30/2022,9/1/2022,907
10/31/2022,10/1/2022,909.1
11/30/2022,11/1/2022,862.9
12/30/2022,12/1/2022,916.2
1/31/2023,1/1/2023,865.7
2/28/2023,2/1/2023,881.7
3/31/2023,3/1/2023,831.4
4/28/2023,4/1/2023,763.4
5/31/2023,5/1/2023,751.7
6/30/2023,6/1/2023,781
7/31/2023,7/1/2023,853.5
8/31/2023,8/1/2023,831.3
9/29/2023,9/1/2023,745
10/31/2023,10/1/2023,729.2
11/30/2023,11/1/2023,736.3
12/29/2023,12/1/2023,698.3
1/31/2024,1/1/2024,664.2
2/29/2024,2/1/2024,618.2
3/29/2024,3/1/2024,667.2
4/19/2024,4/1/2024,662.8
