contract,date,RSH16,RSK16,RSN16,RSX16,RSF17,RSH17,RSK17,RSN17,RSX17,RSF18,RSH18,RSK18,RSN18,RSX18,RSF19,RSH19,RSK19,RSN19,RSX19,RSF20,RSH20,RSK20,RSN20,RSX20,RSF21,RSH21,RSK21,RSN21,RSX21,RSF22,RSH22,RSK22,RSN22,RSX22,RSF23,RSH23,RSK23,RSN23,RSX23,RSF24,RSH24,RSK24,RSN24,RSX24,RSF25,RSH25,RSK25,RSN25,RSX25
RSF16,2015-10-16,479.8,480.5,480.0,469.7,467.9,469.6,469.6,469.6,469.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSH16,2015-12-02,479.5,486.8,491.7,476.6,480.3,480.3,480.3,480.3,480.3,480.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSK16,2016-02-10,462.8,471.6,477.2,481.1,483.8,484.0,482.7,482.7,482.7,482.7,482.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSN16,2016-04-12,,473.9,479.5,478.4,483.2,485.0,485.3,485.5,477.9,477.9,477.9,477.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSX16,2016-06-02,,,520.6,526.3,529.3,530.6,531.8,533.4,516.5,516.5,516.5,516.5,516.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSF17,2016-10-19,,,,504.4,511.4,515.5,516.9,514.2,500.9,502.5,503.8,504.9,504.9,504.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSH17,2016-12-15,,,,,518.6,525.6,530.1,532.4,503.2,505.2,505.8,507.4,509.4,509.4,509.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSK17,2017-02-08,,,,,,524.0,531.7,535.3,505.3,509.6,511.1,512.7,514.7,509.6,509.6,509.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSN17,2017-04-10,,,,,,,489.7,492.2,482.0,484.3,486.7,489.1,490.2,482.0,482.1,482.1,482.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSX17,2017-06-05,,,,,,,,509.7,484.8,490.5,495.4,497.6,499.1,487.3,487.5,487.5,487.5,487.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSF18,2017-10-16,,,,,,,,,498.4,505.4,510.1,512.3,513.1,489.7,491.4,494.1,494.1,494.1,494.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSH18,2017-12-13,,,,,,,,,,498.7,506.9,514.2,518.1,503.5,507.3,507.9,507.9,507.9,502.5,502.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSK18,2018-02-08,,,,,,,,,,,499.3,505.5,510.2,507.7,512.0,514.5,515.3,515.9,503.3,503.3,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSN18,2018-04-05,,,,,,,,,,,,529.0,534.2,519.5,522.1,523.2,523.7,523.7,507.4,507.9,507.9,507.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSX18,2018-06-01,,,,,,,,,,,,,530.3,523.0,529.8,533.4,534.7,535.2,514.8,515.3,515.3,515.3,515.3,,,,,,,,,,,,,,,,,,,,,,,,,,
RSF19,2018-10-12,,,,,,,,,,,,,,494.7,501.7,508.3,511.9,514.5,498.0,499.1,500.1,500.1,500.1,500.1,,,,,,,,,,,,,,,,,,,,,,,,,
RSH19,2018-12-11,,,,,,,,,,,,,,,485.5,491.3,498.6,504.9,495.5,500.7,503.3,503.9,504.0,503.7,503.7,,,,,,,,,,,,,,,,,,,,,,,,
RSK19,2019-02-12,,,,,,,,,,,,,,,,481.2,489.6,497.5,497.5,502.5,505.5,505.5,505.8,503.8,503.8,503.8,,,,,,,,,,,,,,,,,,,,,,,
RSN19,2019-04-11,,,,,,,,,,,,,,,,,456.2,464.3,475.2,481.4,486.3,488.8,490.4,488.3,488.3,488.3,488.3,,,,,,,,,,,,,,,,,,,,,,
RSX19,2019-06-07,,,,,,,,,,,,,,,,,,453.0,464.7,470.4,475.6,480.5,484.7,485.9,485.9,485.9,485.9,485.9,,,,,,,,,,,,,,,,,,,,,
RSF20,2019-10-17,,,,,,,,,,,,,,,,,,,457.0,465.4,474.5,482.2,488.2,483.1,485.1,485.3,490.5,495.7,495.7,,,,,,,,,,,,,,,,,,,,
