Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/20/2024,551,559.25,549.5,556.5,4.25,+0.77%,112067,415877
08/19/2024,554.5,554.5,545,552.25,-0.25,-0.05%,125305,416853
08/16/2024,549,555.5,545.5,552.5,2.25,+0.41%,123773,416551
08/15/2024,557.5,568,548.5,550.25,-6.,-1.08%,161435,412639
08/14/2024,553,559.25,547.5,556.25,4.5,+0.82%,201597,410420
08/13/2024,559.75,561.75,548.75,551.75,-8.,-1.43%,163421,401604
08/12/2024,565.75,570,552,559.75,-6.,-1.06%,185820,400352
08/09/2024,561.5,574.75,560.25,565.75,4.25,+0.76%,172150,408641
08/08/2024,562,568.25,557,561.5,-0.5,-0.09%,154387,414959
08/07/2024,567,571.75,558.5,562,-4.5,-0.79%,167399,423149
08/06/2024,564,571.75,555.5,566.5,3.25,+0.58%,110538,431547
08/05/2024,564,565,544.5,563.25,1,+0.18%,117245,435566
08/02/2024,557.25,564.5,553.5,562.25,5.5,+0.99%,98962,438976
08/01/2024,551.75,559.25,545.5,556.75,4.75,+0.86%,112778,439972
07/31/2024,547.5,558.5,541,552,3,+0.55%,120362,434799
07/30/2024,554.25,554.25,541.5,549,-6.25,-1.13%,87931,432863
07/29/2024,548,556.75,539.5,555.25,6.75,+1.23%,91989,428540
07/26/2024,561.5,565.75,546.75,548.5,-14.,-2.49%,95180,423869
07/25/2024,570.25,573.5,561,562.5,-8.5,-1.49%,77461,416630
07/24/2024,567.75,579.5,561.75,571,3.25,+0.57%,88943,415644
07/23/2024,573,577.5,566,567.75,-5.25,-0.92%,71958,421227
07/22/2024,570.25,578.25,565.75,573,5,+0.88%,88145,420500
07/19/2024,559.5,581,555.75,568,8,+1.43%,109035,418761
07/18/2024,564.5,570,557.5,560,-3.5,-0.62%,81896,418806
07/17/2024,555.5,570.75,552.5,563.5,8,+1.44%,86358,416352
07/16/2024,555.75,561.75,550.25,555.5,-1.,-0.18%,111058,413885
07/15/2024,576,576.5,555,556.5,-19.25,-3.34%,129293,411271
07/12/2024,592.5,594.25,575,575.75,-19.25,-3.24%,142420,406406
07/11/2024,583.75,603.5,582.5,595,10,+1.71%,121565,403324
07/10/2024,595.5,595.75,580.25,585,-10.5,-1.76%,108818,409676
07/09/2024,594,602.5,593.25,595.5,1,+0.17%,93357,411906
07/08/2024,612.5,613.75,590,594.5,-19.,-3.10%,103618,411526
07/05/2024,606,615.25,602,613.5,15.5,+2.59%,78447,407044
07/03/2024,605.5,611.75,596.5,598,-6.75,-1.12%,77472,406017
07/02/2024,611.75,612.75,602.5,604.75,-7.75,-1.27%,95887,402777
07/01/2024,596.25,614.25,591.25,612.5,15.5,+2.60%,132202,404268
06/28/2024,602,607.75,588.5,597,-4.5,-0.75%,132624,406781
06/27/2024,583,602.75,581.25,601.5,18.5,+3.17%,151311,404106
06/26/2024,582.25,594.75,579,583,0.25,+0.04%,140898,406147
06/25/2024,594.25,597.75,581,582.75,-11.5,-1.94%,169908,401751
06/24/2024,600.25,602.75,589,594.25,-5.5,-0.92%,162563,398899
06/21/2024,610,616.75,599,599.75,-10.,-1.64%,212381,400327
06/20/2024,623.25,624.75,607,609.75,-13.5,-2.17%,217983,411844
06/18/2024,630.75,634.25,621.5,623.25,-7.75,-1.23%,164723,401736
06/17/2024,648.25,648.25,629.5,631,-19.25,-2.96%,179700,397502
06/14/2024,658,661,648.25,650.25,-10.5,-1.59%,181594,393135
06/13/2024,657.5,667.25,655.5,660.75,0.5,+0.08%,186150,396840
06/12/2024,670.75,671.5,655.5,660.25,-11.25,-1.68%,186110,393234
06/11/2024,658,677,657.25,671.5,12.5,+1.90%,290399,395778
06/10/2024,674,675,657.5,659,-17.75,-2.62%,253230,421028
06/07/2024,688,688.25,670.25,676.75,-11.25,-1.64%,280935,413364
06/06/2024,697,701,686.75,688,-7.,-1.01%,170741,429137
06/05/2024,706.25,711,691,695,-10.75,-1.52%,178195,430171
06/04/2024,717,726.25,705,705.75,-12.75,-1.77%,166210,434569
06/03/2024,723.75,742.75,713.25,718.5,-5.,-0.69%,161440,439339
05/31/2024,725,735.75,719.25,723.5,-2.,-0.28%,106617,438742
05/30/2024,736,736.75,718,725.5,-10.75,-1.46%,126164,436717
05/29/2024,742.5,748,731.75,736.25,-6.,-0.81%,122873,430379
05/28/2024,752,759.25,735.25,742.25,3,+0.41%,134179,427563
05/24/2024,740.5,746.25,730,739.25,0.75,+0.10%,127393,422016
05/23/2024,735,741.25,723.75,738.5,4.5,+0.61%,122482,418440
05/22/2024,739.75,755.75,728.75,734,-5.75,-0.78%,169326,416169
05/21/2024,729.5,740.75,725.5,739.75,8.25,+1.13%,158541,405252
05/20/2024,699.5,733.5,699.25,731.5,35,+5.03%,160433,400484
05/17/2024,707,719,695.5,696.5,-10.5,-1.49%,102185,393383
05/16/2024,708,724.25,701.5,707,-2.5,-0.35%,107804,393316
05/15/2024,720,739,707.25,709.5,-7.75,-1.08%,158927,395479
05/14/2024,727,737,711.75,717.25,-11.25,-1.54%,156536,394761
05/13/2024,702,734.25,697,728.5,23.25,+3.30%,181725,392548
05/10/2024,682,706.5,682,705.25,23,+3.37%,170749,385699
05/09/2024,680.25,692,678.25,682.25,1.75,+0.26%,116737,375854
05/08/2024,688.75,694.75,676.25,680.5,-8.5,-1.23%,126227,372035
05/07/2024,690.5,697,681,689,-4.25,-0.61%,153734,369477
05/06/2024,666.75,694.25,656.5,693.25,24.75,+3.70%,170277,367209
05/03/2024,647.5,675.75,647.5,668.5,18,+2.77%,150944,364218
05/02/2024,646,659.25,642.75,650.5,4.75,+0.74%,106185,363257
05/01/2024,649,653,641.5,645.75,-3.,-0.46%,107992,362146
04/30/2024,652.75,654.5,644.25,648.75,-6.25,-0.95%,163025,362572
04/29/2024,659,666.75,649.5,655,-10.75,-1.61%,174092,363021
04/26/2024,661,675.5,658.5,665.75,3.5,+0.53%,186142,364627
04/25/2024,653.75,664,652.25,662.25,8.25,+1.26%,182681,377742
04/24/2024,641,657.25,635.25,654,11.5,+1.79%,175336,371109
04/23/2024,629,643.25,624.25,642.5,13.25,+2.11%,187128,375644
04/22/2024,609.5,635,608.25,629.25,20.5,+3.37%,205809,389398
04/19/2024,594.75,615.5,594.75,608.75,13.75,+2.31%,108706,392492
04/18/2024,595.25,600.25,592,595,1.75,+0.29%,113212,395414
04/17/2024,603.75,608.5,592.25,593.25,-9.75,-1.62%,119913,393010
04/16/2024,606.5,611.75,598.5,603,-4.25,-0.70%,137816,391304
04/15/2024,607.75,608.25,599.75,607.25,-2.5,-0.41%,114586,389791
04/12/2024,608,614.25,604.5,609.75,3.5,+0.58%,148764,390021
04/11/2024,613,614.5,603.75,606.25,-7.,-1.14%,160158,396945
04/10/2024,616,620.75,610.5,613.25,0.5,+0.08%,145577,395719
04/09/2024,620.75,620.75,611,612.75,-9.25,-1.49%,158941,398356
04/08/2024,621.75,628.25,616.75,622,0.25,+0.04%,189759,407083
04/05/2024,613.5,628.25,612.5,621.75,8.25,+1.34%,214024,411574
04/04/2024,614.75,618.25,607.75,613.5,0,0.00%,136541,420162
04/03/2024,603,616.25,600,613.5,9.75,+1.61%,118384,420293
04/02/2024,609.75,615.25,602,603.75,-6.75,-1.11%,137383,416265
04/01/2024,612.5,613.5,599,610.5,-1.5,-0.25%,93419,410980
03/28/2024,604,618.5,601,612,8.75,+1.45%,162735,404197
03/27/2024,600.25,604.5,597.5,603.25,2.5,+0.42%,86225,412411
03/26/2024,610.25,610.75,600,600.75,-8.,-1.31%,77480,410277
03/25/2024,610,618.5,603.5,608.75,2.5,+0.41%,112103,409425
03/22/2024,600.5,609.5,591.75,606.25,7.25,+1.21%,105805,412603
03/21/2024,598,602.5,592.75,599,2,+0.34%,78488,411864
03/20/2024,602.5,602.75,588.25,597,-5.5,-0.91%,100173,413269
03/19/2024,594,603.5,589.5,602.5,8.5,+1.43%,96911,407696
03/18/2024,586.75,595,581.5,594,12,+2.06%,102339,408799
03/15/2024,582.75,587,579.25,582,-1.,-0.17%,77432,410247
03/14/2024,590.25,590.5,580.25,583,-8.75,-1.48%,128033,407012
03/13/2024,594.25,597.25,584,591.75,-0.75,-0.13%,103648,399359
03/12/2024,592.5,599,588,592.5,-1.5,-0.25%,116683,396389
03/11/2024,584,595.5,571.5,594,11.25,+1.93%,151814,395876
03/08/2024,572.75,585.25,571.25,582.75,11,+1.92%,131496,397312
03/07/2024,572,581,568.25,571.75,1.5,+0.26%,211477,400265
03/06/2024,579.25,579.25,565.75,570.25,-9.5,-1.64%,217713,406304
03/05/2024,590,591.5,576.25,579.75,-10.5,-1.78%,118973,401311
03/04/2024,584.75,593,580.75,590.25,5.5,+0.94%,78417,387802
03/01/2024,598.5,601.25,582.75,584.75,-16.,-2.66%,114997,384115
02/29/2024,602.25,607,595.75,600.75,-0.5,-0.08%,92341,375452
02/28/2024,605.75,607,597.5,601.25,-5.5,-0.91%,100918,370785
02/27/2024,598.25,611.75,596.5,606.75,7.75,+1.29%,115465,373389
02/26/2024,590.25,601,582.5,599,8.25,+1.40%,133863,379209
02/23/2024,600.25,606.75,590,590.75,-9.25,-1.54%,119770,387377
02/22/2024,596.75,611.5,594.25,600,2,+0.33%,167032,394433
02/21/2024,600.75,601.75,592,598,-3.25,-0.54%,126154,395458
02/20/2024,584.75,603,579.75,601.25,16.5,+2.82%,179333,396470
02/16/2024,594.75,594.75,581.5,584.75,-8.,-1.35%,152227,404434
02/15/2024,610,610,592,592.75,-14.5,-2.39%,198709,396976
02/14/2024,618.5,618.5,603.25,607.25,-11.25,-1.82%,207129,399030
02/13/2024,620.5,622,615.5,618.5,-2.25,-0.36%,203086,396009
02/12/2024,623.75,623.75,614,620.75,-0.5,-0.08%,168563,401257
02/09/2024,620.5,631.25,616.25,621.25,1,+0.16%,217330,399539
02/08/2024,630.75,632.75,617.75,620.25,-12.5,-1.98%,160862,405068
02/07/2024,630.5,635.75,623.75,632.75,3.25,+0.52%,169755,412468
02/06/2024,628.5,633,626.5,629.5,0.75,+0.12%,98976,419546
02/05/2024,636.5,637.25,627.25,628.75,-9.5,-1.49%,99317,417212
02/02/2024,637,644.25,633.5,638.25,1,+0.16%,132062,410025
02/01/2024,635.75,638.75,627.5,637.25,1.25,+0.20%,118826,416253
01/31/2024,644.25,645,633,636,-9.75,-1.51%,79227,413750
01/30/2024,636.25,646.5,627.5,645.75,10.75,+1.69%,91772,409982
01/29/2024,634.75,640.75,628,635,-5.5,-0.86%,76302,407577
01/26/2024,651.5,652.75,635,640.5,-10.75,-1.65%,115763,407230
01/25/2024,651,656.75,645.75,651.25,0.5,+0.08%,105104,400920
01/24/2024,643,652,640.25,650.75,11.25,+1.76%,97027,407914
01/23/2024,637.25,646.5,636.75,639.5,0.5,+0.08%,77218,409879
01/22/2024,637.5,641.5,630.75,639,2.75,+0.43%,65735,410456
01/19/2024,631.25,640,629.75,636.25,5.75,+0.91%,87622,409549
01/18/2024,629.25,631.5,621,630.5,1.5,+0.24%,93101,410061
01/17/2024,632.5,640.25,627.5,629,-3.75,-0.59%,121512,403918
01/16/2024,643.5,649.25,627.75,632.75,-11.75,-1.82%,101950,400325
01/12/2024,649.75,656.25,637,644.5,-5.75,-0.88%,145668,390419
01/11/2024,654.5,661.25,648.5,650.25,-7.5,-1.14%,68072,382262
01/10/2024,654,658,651.25,657.75,1.75,+0.27%,75007,377853
01/09/2024,643,657,642,656,12.25,+1.90%,93898,373687
01/08/2024,654.25,654.25,639.5,643.75,-14.75,-2.24%,116821,377595
01/05/2024,654.5,663,654.5,658.5,3,+0.46%,72932,367827
01/04/2024,649,656.5,640,655.5,7.5,+1.16%,110865,369806
01/03/2024,653.25,654.5,646.5,648,-3.5,-0.54%,116923,372944
01/02/2024,666,667.75,650,651.5,-17.5,-2.62%,102043,366307
12/29/2023,668.5,671.75,662.75,669,-0.75,-0.11%,56732,360259
12/28/2023,664.25,672.25,661.5,669.75,7.25,+1.09%,49051,357222
12/27/2023,673.5,674.5,662.5,662.5,-14.,-2.07%,59609,361007
12/26/2023,658.25,676.75,655.25,676.5,17.75,+2.69%,80044,362050
12/22/2023,656,661.5,655,658.75,1.75,+0.27%,46005,357665
12/21/2023,654.5,658.5,652.75,657,5.25,+0.81%,58590,356953
12/20/2023,658.25,660,650,651.75,-6.5,-0.99%,72259,353643
12/19/2023,657.5,659,649.75,658.25,3.5,+0.53%,66894,351349
12/18/2023,662.75,662.75,652.75,654.75,-8.5,-1.28%,66299,351701
12/15/2023,656,663.5,648.75,663.25,11.5,+1.76%,94448,350216
12/14/2023,649,658.25,646.75,651.75,4.25,+0.66%,79191,353050
12/13/2023,662.25,664.75,645.25,647.5,-16.5,-2.48%,103076,354436
12/12/2023,646.5,665.5,646.5,664,16,+2.47%,86181,347460
12/11/2023,664.25,666,646,648,-18.75,-2.81%,112845,351617
12/08/2023,671.25,672.5,662.75,666.75,-4.75,-0.71%,129589,357933
12/07/2023,665,673,655.25,671.5,4.25,+0.64%,175675,367329
12/06/2023,671,682,665.75,667.25,-6.,-0.89%,199350,385020
12/05/2023,668.25,678.75,664.25,673.25,3.75,+0.56%,177334,405309
12/04/2023,658.25,673.75,654,669.5,11.75,+1.79%,163162,406941
12/01/2023,652.25,663.25,645.75,657.75,3,+0.46%,113691,406910
11/30/2023,643.25,655,638,654.75,11,+1.71%,126152,402399
11/29/2023,635.25,644.5,631.5,643.75,11,+1.74%,127265,402703
11/28/2023,622,634.75,618.5,632.75,12.75,+2.06%,151356,411837
11/27/2023,634.75,638.5,617,620,-14.75,-2.32%,184581,428251
11/24/2023,638,639.5,633.25,634.75,-8.75,-1.36%,94140,430318
11/22/2023,645,649,642,643.5,1,+0.16%,115099,442875
11/21/2023,636.75,643,631.25,642.5,10,+1.58%,143891,446260
11/20/2023,636,638.25,630,632.5,-4.75,-0.75%,124654,443566
11/17/2023,638.5,644.5,636,637.25,-4.,-0.62%,139580,440614
11/16/2023,647.25,648.5,638,641.25,-7.75,-1.19%,165769,439751
11/15/2023,657.25,663.5,648.5,649,-9.,-1.37%,194631,438174
11/14/2023,659.5,664.75,656.5,658,-2.25,-0.34%,147447,436959
11/13/2023,658,662.5,652.75,660.25,1.5,+0.23%,180989,444180
11/10/2023,664.5,667,656,658.75,-7.5,-1.13%,141276,434165
11/09/2023,669.75,673.5,660,666.25,-10.5,-1.55%,168981,429368
11/08/2023,658,679.25,658,676.75,18.75,+2.85%,288927,437948
11/07/2023,666.5,667.75,653.75,658,-7.25,-1.09%,211101,453312
11/06/2023,659.25,666.5,656.75,665.25,3.75,+0.57%,131031,459997
11/03/2023,656.5,662,654.25,661.5,6.5,+0.99%,79272,455133
11/02/2023,653.25,659,649.75,655,1.75,+0.27%,99370,456099
11/01/2023,651,654,648.25,653.25,2,+0.31%,108994,460273
10/31/2023,655,659.5,650.5,651.25,-7.75,-1.18%,135267,460210
10/30/2023,660.75,665.5,656.75,659,-5.,-0.75%,114568,454769
10/27/2023,663.75,667,659,664,-2.,-0.30%,92575,451007
10/26/2023,660,667,655.75,666,6,+0.91%,129713,448390
10/25/2023,665.5,669.75,656.75,660,-5.5,-0.83%,106582,444797
10/24/2023,671,671,659,665.5,-7.,-1.04%,81845,435685
10/23/2023,674,678.75,668.5,672.5,-2.25,-0.33%,76615,435866
